｜Dislikes｜Likes   ｜Views   ｜Dates   ｜Lengths ｜Links                                       ｜Titles                                                                                  
 ____________________________________________________________________________________________________________________________________________________________________________________________ 
｜      11｜     920｜    9179｜20210509｜00:04:33｜https://www.youtube.com/watch?v=T6kQxn-DpYo ｜【自己紹介】はじめまして！咲夜あずさです♪
｜      20｜    1186｜   12097｜20210514｜03:38:52｜https://www.youtube.com/watch?v=KSTCPOhzNhk ｜【初配信】はじめまして！咲夜あずさです♪
｜       8｜     500｜    3918｜20210516｜01:49:50｜https://www.youtube.com/watch?v=JVRFGIYEfYA ｜【極秘任務】作戦会議だぁぁ！！
｜       3｜     493｜    3184｜20210518｜01:19:39｜https://www.youtube.com/watch?v=K6BOOJcUoas ｜【FallGuys】初心者が大暴れ！！【新人Vtuber/咲夜あずさ】
｜       0｜     440｜    2550｜20210521｜02:00:24｜https://www.youtube.com/watch?v=DSigJl9Wmec ｜【リクエスト台詞】主殿が好きなキャラにキャラチェンジ♪【新人Vtuber/咲夜あずさ】
｜       2｜     297｜    1786｜20210522｜01:46:51｜https://www.youtube.com/watch?v=IQXUZ2mgBDE ｜【朝配信】今日一日が元気になる配信☆【新人Vtuber/咲夜あずさ】
｜       1｜     315｜    2097｜20210524｜01:51:49｜https://www.youtube.com/watch?v=taS3MjwKKWQ ｜【朝配信】朝から魅了する台詞読み【新人Vtuber/咲夜あずさ】
｜       4｜     318｜    1977｜20210525｜02:42:01｜https://www.youtube.com/watch?v=XDsYTmnW0H8 ｜【朝配信】主殿のお悩み聞かせて？【新人Vtuber/咲夜あずさ】
｜       1｜     480｜    3656｜20210527｜02:20:05｜https://www.youtube.com/watch?v=H1pcGgdZT-o ｜【FallGuys】絶対叫ばない！！！【新人Vtuber/咲夜あずさ】
｜       3｜     643｜    4690｜20210529｜01:44:47｜https://www.youtube.com/watch?v=R90QTRX35LE ｜【歌枠】祝5000人ありがとぉぉぉ！！！あずの歌で主殿を元気にするよ♪【新人Vtuber/咲夜あずさ】
｜       3｜     370｜    2670｜20210530｜01:57:27｜https://www.youtube.com/watch?v=E1IrVS9ZtbI ｜【空気読み３】空気？読めるよ！く・う・き♪【新人Vtuber/咲夜あずさ】
｜       2｜     593｜    4300｜20210531｜02:04:53｜https://www.youtube.com/watch?v=tw0bPCJNR0I ｜【歌枠】アニソン祭りだぁぁ♪【新人Vtuber/咲夜あずさ】
｜       4｜     331｜    2688｜20210602｜02:04:57｜https://www.youtube.com/watch?v=s03l4NPdh5A ｜【スプラトゥーン２】視聴者参加型！！ランク１だけどナワバリバトルでぬりたく～るてんたくる♪【新人Vtuber/咲夜あずさ】
｜       2｜     284｜    1910｜20210603｜01:09:05｜https://www.youtube.com/watch?v=SrnRfDLZEqU ｜【朝活】おはようお歌うたったり、お話しよう！！【新人Vtuber/咲夜あずさ】
｜       1｜     280｜    1865｜20210603｜00:54:12｜https://www.youtube.com/watch?v=aKTj5wXGqCs ｜【朝活】おはようお歌うたったり、お話しよう！！テイク２【新人Vtuber/咲夜あずさ】
｜       6｜     568｜    4645｜20210604｜03:33:49｜https://www.youtube.com/watch?v=LA_AVdYLW9A ｜【青鬼】初めてのホラー配信！！！怖くない怖くない。。。【新人Vtuber/咲夜あずさ】
｜       5｜     574｜    4475｜20210606｜02:00:55｜https://www.youtube.com/watch?v=6fcTnvxgpJ4 ｜【収益化記念】リクエスト歌枠♪＆収益化本当にありがとう！！！【新人Vtuber/咲夜あずさ】
｜       3｜     643｜    6710｜20210607｜06:57:52｜https://www.youtube.com/watch?v=HSrVCEwIHMM ｜【Fall Guy】クラウンとるまでがんばるぞぉぉ！！！！【新人Vtuber/咲夜あずさ】
｜       3｜     354｜    2727｜20210608｜02:07:36｜https://www.youtube.com/watch?v=1HoMEJ0r5cU ｜【休むな！８分音符ちゃん♪】あずの声で自由自在に操っちゃうよ！！【新人Vtuber/咲夜あずさ】
｜       5｜     507｜    4522｜20210610｜02:36:20｜https://www.youtube.com/watch?v=cJGdaRI9Wdg ｜【歌枠】あずの歌を聞いたらきっと今日も頑張れるよ♪【新人Vtuber/咲夜あずさ】
